apts;hp;floors;groundArea;matter;value;x;y;temperature
2.0;19.0;4.0;149.0;1.0;28.0;0.44026158160691187;0.15752021248669257;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.18480803818742775;0.8942403691876416;3.0
1.0;12.0;2.0;50.0;0.0;5.0;0.17857011026666114;0.9403477594314186;3.0
1.0;11.0;3.0;93.0;2.0;33.0;0.21987276040403592;0.11238548369909107;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.4493196108390607;0.31949927548445234;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.2978928523183899;0.29293806074564166;3.0
1.0;11.0;1.0;50.0;0.0;29.0;0.42577811811491684;0.8535337020395106;4.0
3.0;23.0;5.0;161.0;2.0;16.0;0.17823169301194774;0.7414116945887597;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.8986464119348391;0.045061116892127995;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.3781477432404995;0.7067537624132706;1.0
2.0;10.0;1.0;122.0;2.0;48.0;0.38916829508475337;0.5175013448248561;4.0
1.0;12.0;2.0;50.0;0.0;29.0;0.01910962305742603;0.2584093201846517;4.0
3.0;68.0;19.0;162.0;1.0;16.0;0.2502455392858657;0.6354162136668121;2.0
1.0;11.0;1.0;50.0;0.0;29.0;0.49683191023003115;0.5392771594570643;4.0
2.0;14.0;3.0;130.0;2.0;26.0;0.47312225939616903;0.335212489865084;3.0
1.0;10.0;2.0;84.0;2.0;8.0;0.004670812145645242;0.8328496309197947;3.0
4.0;71.0;15.0;221.0;1.0;22.0;0.09911225617512831;0.3734082452186058;2.0
4.0;20.0;3.0;211.0;2.0;84.0;0.17766807380407623;0.9495019765797003;3.0
3.0;56.0;15.0;158.0;1.0;69.0;0.24814888010799752;0.41056373988976125;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.5695269252506304;0.3349826562029873;2.0
1.0;17.0;6.0;65.0;1.0;5.0;0.8456829282720649;0.11574816977306424;1.0
1.0;12.0;2.0;50.0;0.0;5.0;0.1504687009031489;0.023810903885911117;3.0
1.0;16.0;5.0;93.0;1.0;9.0;0.9127562274780768;0.6517152981716036;2.0
2.0;14.0;3.0;106.0;2.0;44.0;0.08586138992968828;0.08856069151570722;4.0
4.0;127.0;29.0;224.0;1.0;112.0;0.07889015471094352;0.35017152424050213;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.3788597995858284;0.560150063299221;2.0
2.0;10.0;1.0;145.0;2.0;52.0;0.808147605659161;0.9307305096191819;4.0
3.0;23.0;5.0;163.0;2.0;48.0;0.09158723093095755;0.9962804455035875;3.0
2.0;19.0;4.0;131.0;1.0;13.0;0.3650188830210398;0.05196812914044546;2.0
2.0;10.0;1.0;116.0;2.0;11.0;0.11746328370707781;0.7862999214533551;2.0
1.0;20.0;9.0;94.0;1.0;33.0;0.33833768800640396;0.37465999656549376;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.8362181217670597;0.26869104715854253;3.0
1.0;11.0;1.0;50.0;0.0;29.0;0.423821841574734;0.25229498857287624;4.0
3.0;20.0;4.0;171.0;2.0;75.0;0.18428613365494828;0.451467420334951;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.6749203645054161;0.281220622677695;3.0
3.0;23.0;5.0;190.0;2.0;19.0;0.5099491029890361;0.7983962888508064;2.0
3.0;74.0;21.0;183.0;1.0;18.0;0.8988822596574262;0.29923322584376044;2.0
3.0;98.0;29.0;192.0;1.0;57.0;0.5761164303109929;0.47762799364775566;3.0
1.0;27.0;16.0;96.0;1.0;9.0;0.2918071946522871;0.7049276671322627;3.0
1.0;41.0;30.0;54.0;1.0;5.0;0.8468944661592674;0.5908948759832818;2.0
3.0;23.0;5.0;187.0;2.0;78.0;0.10083825110462374;0.06656364389255576;4.0
4.0;24.0;4.0;206.0;2.0;5.0;0.7766648828309868;0.23760609918275477;1.0
1.0;11.0;1.0;50.0;0.0;5.0;0.8425608689867734;0.8546599802379625;2.0
1.0;9.0;1.0;62.0;2.0;6.0;0.13789900848552594;0.6511858240438877;2.0
1.0;12.0;2.0;50.0;0.0;5.0;0.4914066605551125;0.17583785966004117;3.0
3.0;11.0;1.0;170.0;2.0;17.0;0.7426238288435277;0.3899519282303554;2.0
1.0;11.0;1.0;50.0;0.0;29.0;0.3352271273062871;0.6063690510010638;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.9171133115280887;0.6795648369774171;1.0
4.0;123.0;28.0;212.0;1.0;5.0;0.21211217786616765;0.8124976596525175;1.0
1.0;11.0;3.0;85.0;2.0;32.0;0.2939241512348737;0.09254293556917881;4.0
1.0;12.0;2.0;50.0;0.0;29.0;0.3616359533708181;0.5794928399458963;4.0
4.0;12.0;1.0;217.0;2.0;108.0;0.43279482885433707;0.06841626966899184;4.0
1.0;12.0;2.0;50.0;0.0;29.0;0.9653438747629179;0.9273362379486569;4.0
1.0;9.0;1.0;51.0;2.0;29.0;0.6113972195518164;0.7847574272049082;4.0
1.0;12.0;2.0;50.0;0.0;29.0;0.16838410897942324;0.6060111919957506;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.19015512481942365;0.4484072140635572;3.0
3.0;20.0;4.0;199.0;2.0;81.0;0.920046742614951;0.09226657226094737;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.22600524278915757;0.03366607070305094;2.0
1.0;12.0;2.0;50.0;0.0;5.0;0.418163275630004;0.3356927523479003;2.0
3.0;20.0;3.0;168.0;1.0;48.0;0.40315017714483126;0.916855745161918;3.0
3.0;53.0;14.0;188.0;1.0;18.0;0.9484433221435011;0.5341259100977482;2.0
1.0;12.0;2.0;50.0;0.0;5.0;0.7632525111648709;0.5058547153168476;2.0
2.0;71.0;30.0;104.0;1.0;44.0;0.7198259037269266;0.2089602208406407;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.05607666228780939;0.14366068387601527;1.0
4.0;16.0;2.0;210.0;2.0;108.0;0.29212067482095083;0.9873662171438724;4.0
4.0;28.0;5.0;228.0;2.0;5.0;0.3552131071575302;0.42997900307693115;1.0
3.0;17.0;2.0;177.0;1.0;17.0;0.9922355230011509;0.8210530152172976;2.0
2.0;16.0;4.0;125.0;2.0;12.0;0.4847198713304788;0.4868211455536553;2.0
3.0;14.0;2.0;194.0;2.0;81.0;0.9244075945389556;0.7922694684673864;4.0
1.0;18.0;7.0;68.0;1.0;30.0;0.084325751564997;0.7736268810820602;4.0
1.0;10.0;2.0;63.0;2.0;5.0;0.5877931010434896;0.7203985462932799;1.0
3.0;23.0;5.0;175.0;2.0;51.0;0.24291631689251003;0.37752031511862005;3.0
1.0;10.0;2.0;91.0;2.0;9.0;0.40969980080574964;0.9368340633245268;2.0
1.0;36.0;25.0;87.0;1.0;32.0;0.9901646507869679;0.4866219205837081;4.0
1.0;11.0;3.0;74.0;2.0;5.0;0.3344634197360675;0.6360910885094255;1.0
3.0;23.0;5.0;151.0;2.0;15.0;0.30489464912891273;0.9855811186273868;2.0
1.0;12.0;2.0;50.0;0.0;5.0;0.10589650132105344;0.5167328100689423;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.7800829670328964;0.001444526322504247;2.0
3.0;59.0;16.0;197.0;1.0;57.0;0.1707850568279038;0.4290339176003193;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.20140318961630443;0.6536640330889766;3.0
3.0;23.0;5.0;164.0;2.0;72.0;0.9090018280207203;0.3192388830214289;4.0
1.0;12.0;2.0;50.0;0.0;5.0;0.5316076208461209;0.3668934857760284;1.0
1.0;12.0;4.0;63.0;2.0;6.0;0.580046711453387;0.9625317062638094;3.0
2.0;25.0;7.0;133.0;1.0;50.0;0.47277742853471705;0.10552627690655114;4.0
2.0;16.0;4.0;127.0;2.0;5.0;0.00951688452652999;0.008453382126856201;1.0
2.0;10.0;1.0;122.0;2.0;12.0;0.8787261578064909;0.8089853864760075;2.0
3.0;83.0;24.0;196.0;1.0;57.0;0.08462987180537684;0.18767357628356607;3.0
3.0;20.0;4.0;166.0;2.0;16.0;0.8777980878855033;0.3266463569145849;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.4188740323200498;0.3495004392573904;2.0
2.0;49.0;19.0;127.0;1.0;48.0;0.6056252059355235;0.6618965091711156;4.0
3.0;23.0;5.0;199.0;2.0;57.0;0.16782579979198387;0.14277812215703167;3.0
1.0;34.0;23.0;54.0;1.0;29.0;0.04307221296716002;0.3576311821756316;4.0
1.0;12.0;4.0;96.0;2.0;9.0;0.5055389225565522;0.2113266687602825;3.0
1.0;11.0;1.0;50.0;0.0;29.0;0.5854502170935859;0.1791899035761686;4.0
1.0;9.0;1.0;70.0;2.0;7.0;0.3550889174335886;0.5145770684878684;3.0
4.0;20.0;3.0;210.0;2.0;84.0;0.4109378081800049;0.3988580741446852;3.0
1.0;12.0;2.0;50.0;0.0;5.0;0.43604512918745997;0.46692171492893886;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.5826843772948537;0.5390128854833807;1.0
1.0;11.0;1.0;50.0;0.0;5.0;0.30413259718450314;0.880213744551187;1.0
2.0;14.0;3.0;100.0;2.0;20.0;0.08275076339872411;0.06039268436467615;3.0
4.0;24.0;4.0;205.0;2.0;104.0;0.09023631309726543;0.817708854945735;4.0
3.0;14.0;2.0;178.0;2.0;51.0;0.6948205204616359;0.5405051679375317;3.0
2.0;29.0;9.0;110.0;1.0;22.0;0.2667523861966362;0.18538968438842662;3.0
3.0;29.0;6.0;160.0;1.0;16.0;0.1985306671381507;0.8498457972218573;2.0
1.0;12.0;2.0;50.0;0.0;5.0;0.22156512144696383;0.994298121947107;3.0
1.0;26.0;15.0;96.0;1.0;9.0;0.9676351414727077;0.3081810850894563;2.0
1.0;16.0;5.0;79.0;1.0;7.0;0.7600926445191067;0.5059387183100085;3.0
1.0;12.0;2.0;50.0;0.0;5.0;0.27673269717558024;0.4946967487780931;1.0
1.0;9.0;1.0;80.0;2.0;32.0;0.5066213869139393;0.0187138244601458;4.0
4.0;131.0;30.0;212.0;1.0;84.0;0.6423097549480236;0.31814621742500504;3.0
2.0;16.0;4.0;141.0;2.0;52.0;0.5404078333989527;0.18826760028061262;4.0
1.0;26.0;15.0;82.0;1.0;8.0;0.7467635049268204;0.8656759525257975;2.0
1.0;12.0;2.0;50.0;0.0;5.0;0.9304695454170574;0.15539240683633615;3.0
1.0;12.0;2.0;50.0;0.0;5.0;0.9847331845057372;0.27172785611876515;1.0
2.0;12.0;2.0;109.0;2.0;5.0;0.34444515881806326;0.956278219585393;1.0
1.0;12.0;2.0;50.0;0.0;5.0;0.6615824155272565;0.12550786491421329;2.0
1.0;35.0;24.0;78.0;1.0;7.0;0.1360968250251321;0.12929502755718225;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.32609186378303023;0.1396994819959455;3.0
1.0;12.0;2.0;50.0;0.0;29.0;0.39199039166348804;0.778069568492005;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.11524998747537496;0.43997639606079797;1.0
3.0;53.0;14.0;180.0;1.0;18.0;0.2525793601688604;0.7691298454750393;2.0
4.0;24.0;4.0;217.0;2.0;84.0;0.488369016816103;0.7578352808116632;3.0
3.0;17.0;3.0;171.0;2.0;75.0;0.9244411411889463;0.10782050216700656;4.0
3.0;20.0;3.0;156.0;1.0;45.0;0.8064106112914026;0.25438474265569866;3.0
1.0;12.0;2.0;50.0;0.0;5.0;0.058246629009518935;0.6557839403345729;1.0
1.0;11.0;1.0;50.0;0.0;5.0;0.8241159663355181;0.5040606529485256;2.0
2.0;18.0;5.0;144.0;2.0;5.0;0.9762547698163153;0.6893558029319207;1.0
1.0;29.0;18.0;52.0;1.0;5.0;0.2871272417891758;0.2903337929700134;2.0
3.0;17.0;3.0;178.0;2.0;5.0;0.7753490339964539;0.8818932800020743;1.0
2.0;18.0;5.0;138.0;2.0;50.0;0.6488515135399531;0.647472186340597;4.0
1.0;10.0;2.0;89.0;2.0;8.0;0.6733838122786427;0.34168780429461354;3.0
3.0;59.0;16.0;185.0;1.0;78.0;0.13727875613733898;0.434026746432867;4.0
3.0;11.0;1.0;179.0;2.0;5.0;0.6412949473842847;0.9362690884886178;1.0
1.0;38.0;27.0;60.0;1.0;30.0;0.8391668282168041;0.5245484619981622;4.0
3.0;14.0;1.0;150.0;1.0;15.0;0.20894844636703336;0.09453362273683286;2.0
3.0;17.0;3.0;152.0;2.0;5.0;0.6906054578125216;0.7684027122113933;1.0
1.0;11.0;1.0;50.0;0.0;5.0;0.4377529639278105;0.7199777164301225;3.0
1.0;12.0;2.0;50.0;0.0;29.0;0.42583522057372003;0.9823289452019073;4.0
2.0;39.0;14.0;101.0;1.0;10.0;0.4848616487159074;0.533538193654531;2.0
4.0;20.0;3.0;220.0;2.0;88.0;0.35229259451194805;0.6934846536341343;3.0
1.0;31.0;20.0;89.0;1.0;5.0;0.6275480704579532;0.8422283838148195;1.0
3.0;17.0;3.0;163.0;2.0;5.0;0.8597466234156687;0.7404627947871592;1.0
1.0;13.0;2.0;58.0;1.0;5.0;0.47636694692688153;0.8280370153768495;2.0
1.0;11.0;1.0;50.0;0.0;29.0;0.16524502949045505;0.6260962483884345;4.0
1.0;11.0;1.0;50.0;0.0;29.0;0.7572582569795084;0.27493598079891146;4.0
3.0;65.0;18.0;158.0;1.0;69.0;0.47414095874645534;0.17881349314608896;4.0
1.0;12.0;2.0;50.0;0.0;5.0;0.5028645807693796;0.6325698995606271;3.0
3.0;20.0;4.0;185.0;2.0;54.0;0.2532903807648874;0.5992240514119943;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.9801096281433965;0.7954962486302696;3.0
3.0;86.0;25.0;161.0;1.0;5.0;0.9000798764710025;0.6496100512465502;1.0
1.0;12.0;4.0;52.0;2.0;29.0;0.04146442761566271;0.20584798243487346;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.8582266043726478;0.19597975160072212;3.0
1.0;12.0;2.0;50.0;0.0;5.0;0.03504642794271717;0.9591042689242667;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.6704634932224053;0.5247734841612631;1.0
3.0;26.0;5.0;157.0;1.0;45.0;0.6885221965820876;0.8238144535715939;3.0
2.0;14.0;3.0;140.0;2.0;5.0;0.027769073667712307;0.07958409249391296;1.0
1.0;10.0;2.0;81.0;2.0;32.0;0.5782767445454153;0.5033255807582215;4.0
2.0;10.0;1.0;122.0;2.0;5.0;0.7712864330338022;0.06220347039692653;1.0
1.0;12.0;2.0;50.0;0.0;5.0;0.8303111933628919;0.032933261249981194;3.0
1.0;12.0;4.0;84.0;2.0;32.0;0.6506268928204142;0.1541340834541185;4.0
2.0;14.0;3.0;103.0;2.0;20.0;0.8009392228095104;0.37928204927656173;3.0
1.0;11.0;1.0;50.0;0.0;29.0;0.2800887607090613;0.4979721651028023;4.0
3.0;68.0;19.0;190.0;1.0;5.0;0.34587959744047636;0.18035795845231806;1.0
1.0;13.0;5.0;72.0;2.0;31.0;0.08897065940093052;0.12252540746519314;4.0
3.0;20.0;3.0;155.0;1.0;45.0;0.346747467177808;0.4499189561414163;3.0
2.0;10.0;1.0;109.0;2.0;5.0;0.016942666817918117;0.011733460608618795;1.0
3.0;47.0;12.0;168.0;1.0;72.0;0.05349517751841293;0.4090885919371863;4.0
1.0;36.0;25.0;78.0;1.0;7.0;0.9691106455799391;0.6815138331413274;3.0
2.0;59.0;24.0;102.0;1.0;20.0;0.9955733304635328;0.35738602252650475;3.0
3.0;56.0;15.0;165.0;1.0;16.0;0.3479206537753359;0.8480022826993109;2.0
2.0;14.0;3.0;144.0;2.0;5.0;0.1434870596985548;0.11162645419738049;1.0
1.0;37.0;26.0;55.0;1.0;5.0;0.08188272775611305;0.4586008002436327;2.0
3.0;14.0;2.0;169.0;2.0;16.0;0.11629725620078857;0.6736478295791728;2.0
2.0;55.0;22.0;120.0;1.0;48.0;0.9721488032677588;0.4442956370058522;4.0
1.0;12.0;2.0;50.0;0.0;5.0;0.5991509353599066;0.1321107173056395;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.5632828221087278;0.9435820270572304;1.0
1.0;9.0;1.0;80.0;2.0;32.0;0.39393366312411116;0.6489410827525719;4.0
1.0;11.0;1.0;50.0;0.0;29.0;0.3784452492642577;0.23492005291442342;4.0
1.0;13.0;5.0;66.0;2.0;6.0;0.9568434647661713;0.6170827044817929;2.0
4.0;28.0;5.0;205.0;2.0;80.0;0.024422839569148702;0.10011392438644628;3.0
2.0;10.0;1.0;100.0;2.0;10.0;0.19220436053676926;0.2925178098900254;2.0
3.0;101.0;30.0;177.0;1.0;51.0;0.6272038403804676;0.5034559829219261;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.4418793813565738;0.26118203949460994;2.0
1.0;15.0;4.0;77.0;1.0;7.0;0.5396597777802057;0.012934656049152449;3.0
1.0;11.0;1.0;50.0;0.0;29.0;0.9566787654093053;0.1890374053313314;4.0
1.0;12.0;4.0;55.0;2.0;29.0;0.7891054503858309;0.8354874409320263;4.0
2.0;16.0;4.0;110.0;2.0;5.0;0.46784357160677936;0.39753378865443456;1.0
3.0;62.0;17.0;168.0;1.0;72.0;0.19925705417939876;0.8661487197639411;4.0
1.0;11.0;1.0;50.0;0.0;29.0;0.5458330286611746;0.7638466483484718;4.0
3.0;23.0;4.0;158.0;1.0;5.0;0.7933282511734959;0.05879259368343703;1.0
1.0;11.0;1.0;50.0;0.0;5.0;0.11468806707425272;0.036392229187443226;1.0
1.0;12.0;2.0;50.0;0.0;5.0;0.9319324953338016;0.30178531560330946;3.0
1.0;33.0;22.0;83.0;1.0;8.0;0.751955039733789;0.8125037174062737;2.0
2.0;43.0;16.0;106.0;1.0;20.0;0.5149109116483357;0.5814056644272891;3.0
3.0;14.0;2.0;181.0;2.0;54.0;0.030458903689925876;0.21927701336201433;3.0
4.0;63.0;13.0;200.0;1.0;20.0;0.29736802149125796;0.38130749874240955;2.0
1.0;10.0;2.0;59.0;2.0;29.0;0.7753865753321317;0.8854491594308214;4.0
1.0;12.0;2.0;50.0;0.0;5.0;0.6502284257735869;0.6807125592258895;3.0
1.0;12.0;2.0;50.0;0.0;5.0;0.9903336025128645;0.26039374392045433;3.0
1.0;12.0;2.0;50.0;0.0;5.0;0.8035865906897761;0.326845190236427;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.2951238045527904;0.6197139985927781;3.0
3.0;65.0;18.0;196.0;1.0;57.0;0.9527906771454796;0.47561185829474373;3.0
3.0;47.0;12.0;168.0;1.0;5.0;0.3418854843207698;0.7261579731572342;1.0
1.0;10.0;2.0;72.0;2.0;31.0;0.0025196912912625047;0.5783596216331124;4.0
1.0;29.0;18.0;50.0;1.0;5.0;0.3120058327484605;0.9217918787916919;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.728621499972478;0.4012435770735401;3.0
1.0;12.0;2.0;50.0;0.0;5.0;0.8986005336445692;0.4233315750690695;1.0
2.0;47.0;18.0;121.0;1.0;12.0;0.1344423465534883;0.41939865647398855;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.21865779319918355;0.06322697067318006;1.0
4.0;31.0;5.0;221.0;1.0;22.0;0.6574446841430773;0.7061089523538386;2.0
1.0;32.0;21.0;80.0;1.0;32.0;0.17413565239803808;0.30774437751201966;4.0
2.0;14.0;3.0;125.0;2.0;12.0;0.5274553820070416;0.5893535337409832;2.0
3.0;11.0;1.0;172.0;2.0;51.0;0.7233467450051457;0.5665235472691101;3.0
4.0;43.0;8.0;218.0;1.0;5.0;0.8154087809094207;0.13582654567704444;1.0
1.0;12.0;2.0;50.0;0.0;5.0;0.5970302969284611;0.380513106718106;1.0
1.0;12.0;2.0;50.0;0.0;5.0;0.42952533136952253;0.576439403507576;2.0
4.0;119.0;27.0;224.0;1.0;88.0;0.5891393265980949;0.4388164689271593;3.0
3.0;95.0;28.0;182.0;1.0;78.0;0.28837286523257677;0.8547512271136525;4.0
4.0;20.0;3.0;223.0;2.0;88.0;0.5731593231788604;0.5640910351886732;3.0
1.0;29.0;18.0;79.0;1.0;5.0;0.09532830837304884;0.9069412167094413;1.0
2.0;37.0;13.0;149.0;1.0;28.0;0.4015448796444442;0.367783648969645;3.0
1.0;40.0;29.0;69.0;1.0;6.0;0.5001946226795495;0.3446596037726797;2.0
3.0;77.0;22.0;164.0;1.0;72.0;0.9896998478039157;0.20895346335370768;4.0
3.0;77.0;22.0;166.0;1.0;16.0;0.46831753134850473;0.7641793820583104;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.7427208142679317;0.20252813996826924;1.0
1.0;23.0;12.0;54.0;1.0;5.0;0.2589221914580687;0.912918191633939;2.0
2.0;16.0;4.0;119.0;2.0;22.0;0.9010807091480316;0.8694574719256506;3.0
1.0;15.0;4.0;57.0;1.0;5.0;0.030300648072917102;0.5589288534819764;1.0
2.0;61.0;25.0;121.0;1.0;12.0;0.12759833604970083;0.9876716297740883;2.0
1.0;10.0;2.0;53.0;2.0;29.0;0.8842990456107761;0.09838024548077251;4.0
3.0;14.0;2.0;197.0;2.0;57.0;0.7085536650013046;0.42436750693334757;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.3788343182381345;0.8029265420978347;1.0
4.0;107.0;24.0;220.0;1.0;5.0;0.2770655799463728;0.2666341684206285;1.0
1.0;11.0;3.0;83.0;2.0;32.0;0.14407603810192482;0.6968561451743627;4.0
1.0;12.0;2.0;50.0;0.0;29.0;0.2410036107072817;0.44045235959940354;4.0
4.0;16.0;2.0;217.0;2.0;84.0;0.9616897479738659;0.22201400904291546;3.0
4.0;16.0;2.0;213.0;2.0;84.0;0.9250109539412441;0.9766598496041698;3.0
4.0;20.0;3.0;200.0;2.0;104.0;0.6618612275369842;0.9765337922379013;4.0
3.0;20.0;4.0;171.0;2.0;75.0;0.8364438688700944;0.7389460502622949;4.0
1.0;12.0;2.0;50.0;0.0;5.0;0.8957489047561074;0.4578472793999415;1.0
2.0;16.0;4.0;134.0;2.0;13.0;0.022132180256300482;0.47933844917181356;2.0
1.0;12.0;2.0;50.0;0.0;29.0;0.8652812441084448;0.13865671089286946;4.0
1.0;11.0;1.0;50.0;0.0;5.0;0.3248352764713919;0.5309058484703782;2.0
2.0;37.0;13.0;114.0;1.0;11.0;0.026738679428025103;0.16631428876969412;2.0
1.0;12.0;2.0;50.0;0.0;5.0;0.4460824007193528;0.13651783783339044;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.9789596565655824;0.4936060131395871;2.0
2.0;16.0;4.0;127.0;2.0;24.0;0.21445548552896565;0.489924223936104;3.0
2.0;16.0;4.0;135.0;2.0;5.0;0.5808359804301093;0.9120878439976211;1.0
4.0;12.0;1.0;225.0;2.0;88.0;0.9157811310245944;0.6666207154241447;3.0
